País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Denver Nuggets vs Golden State Warriors,116-93,Finalizado,https://www.flashscore.com/match/basketball/denver-nuggets-CxvW27TI/golden-state-warriors-SxUtXqch/?mid=hEwwMf8k,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Miami Heat vs Philadelphia 76ers,VS,Finalizado,https://www.flashscore.com/match/basketball/miami-heat-CQ7AXnT5/philadelphia-76ers-vwRW2QSh/?mid=0vsoKYx2,23:00
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Atlanta Hawks vs Boston Celtics,VS,Finalizado,https://www.flashscore.com/match/basketball/atlanta-hawks-xAO4gBas/boston-celtics-KYD9hVEm/?mid=GnPXsxV8,23:30
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,San Lorenzo vs Gimnasia,VS,Finalizado,https://www.flashscore.com/match/basketball/gimnasia-Cn0pHIpQ/san-lorenzo-6JVDDNoE/?mid=WroEEqb6,23:30
ARGENTINA,Liga Femenina Women - Clausura,https://www.flashscore.com/basketball/argentina/liga-femenina-women/,Berazategui W vs El Bigua W,55-62,Finalizado,https://www.flashscore.com/match/basketball/berazategui-zkIuVX1R/el-bigua-Isp4rkRp/?mid=x6YIOkQ8,
ARGENTINA,Liga Femenina Women - Clausura,https://www.flashscore.com/basketball/argentina/liga-femenina-women/,Ferro W vs Union Florida W,VS,Finalizado,https://www.flashscore.com/match/basketball/ferro-carril-oeste-h6CbbVVQ/union-florida-GfI2HmId/?mid=213l09rp,23:30
ASIA,WASL - Gulf League - Play Offs,https://www.flashscore.com/basketball/asia/wasl/,Kuwait SC vs Al Ittihad,---,Postp,https://www.flashscore.com/match/basketball/al-ittihad-xh4frU3m/kuwait-sc-UesmUr0g/?mid=29RIfUrS,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Maringa W vs Cerrado W,VS,Finalizado,https://www.flashscore.com/match/basketball/cerrado-jVnMFNoK/maringa-4MvZgtP0/?mid=lU3m2HvS,22:30
BULGARIA,NBL,https://www.flashscore.com/basketball/bulgaria/nbl/,Levski vs Balkan,VS,Finalizado,https://www.flashscore.com/match/basketball/balkan-8WQx44xi/levski-UkNlrMdD/?mid=voFHuQx8,16:00
BULGARIA,NBL,https://www.flashscore.com/basketball/bulgaria/nbl/,Academic Plovdiv vs Shumen,VS,Finalizado,https://www.flashscore.com/match/basketball/academic-plovdiv-vqpI0d09/shumen-4QTSUzBj/?mid=WKB9sn8e,16:15
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Fujian vs Liaoning,VS,Finalizado,https://www.flashscore.com/match/basketball/fujian-08gR6U6I/liaoning-vahV5lMO/?mid=rw3xJpbL,11:35
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Nanjing Tongxi vs Beijing,VS,Finalizado,https://www.flashscore.com/match/basketball/beijing-ducks-SAw2AC7g/nanjing-tongxi-A3YqyBab/?mid=SAv9DOLr,11:35
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Qingdao vs Beijing Royal Fighters,VS,Finalizado,https://www.flashscore.com/match/basketball/beijing-royal-fighters-n3S3Qcb1/qingdao-Mem7TXbP/?mid=0xhGB2je,11:35
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Shandong vs Tianjin,VS,Finalizado,https://www.flashscore.com/match/basketball/shandong-Iq4M7AiC/tianjin-O4ZYOi7t/?mid=d4oP9tL7,11:35
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Zhejiang Chouzhou vs Guangzhou,VS,Finalizado,https://www.flashscore.com/match/basketball/guangzhou-long-lions-EgSoMkia/zhejiang-chouzhou-6TOwOBMn/?mid=lbYAXqDE,11:35
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Xinjiang vs Ningbo Rockets,VS,Finalizado,https://www.flashscore.com/match/basketball/ningbo-rockets-QaJMlMqi/xinjiang-d2kbL965/?mid=rajqFycm,12:00
