País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Euroleague - Play Offs,https://www.flashscore.com/basketball/europe/euroleague/,Hapoel Tel Aviv vs Real Madrid,VS,Finalizado,https://www.flashscore.com/match/basketball/hapoel-tel-aviv-x0WjVzjP/real-madrid-MP6gLUO7/?mid=IHH7gtnK,16:00
EUROPE,Euroleague - Play Offs,https://www.flashscore.com/basketball/europe/euroleague/,Monaco vs Olympiacos,VS,Finalizado,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/olympiacos-piraeus-ptNXXDf6/?mid=QcwuYrxh,17:45
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Lyon-Villeurbanne vs JL Bourg,VS,Finalizado,https://www.flashscore.com/match/basketball/jl-bourg-A5BNuIF5/lyon-villeurbanne-KrXB5aC1/?mid=tS5msP2T,18:00
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Besiktas vs Petkim Spor,VS,Finalizado,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/petkim-spor-bP2InIvD/?mid=EeU6b4UF,15:00
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,New York Knicks vs Philadelphia 76ers,137-98,Finalizado,https://www.flashscore.com/match/basketball/new-york-knicks-WCNO4nbt/philadelphia-76ers-vwRW2QSh/?mid=GCyQmumf,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,San Antonio Spurs vs Minnesota Timberwolves,102-104,Finalizado,https://www.flashscore.com/match/basketball/minnesota-timberwolves-KjBIVQcI/san-antonio-spurs-IwmkErSH/?mid=xOu7E1cB,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Detroit Pistons vs Cleveland Cavaliers,VS,Finalizado,https://www.flashscore.com/match/basketball/cleveland-cavaliers-xGk13Tb6/detroit-pistons-UcjMRj6J/?mid=CWMFS9CF,23:00
ARGENTINA,Liga A - Play Out,https://www.flashscore.com/basketball/argentina/liga-a/,Atenas vs Argentino,96-93,Finalizado,https://www.flashscore.com/match/basketball/argentino-xGjz8hBO/atenas-hbqyLbBE/?mid=xGXHPdvB,
ASIA,Asia Champions League - Qualification,https://www.flashscore.com/basketball/asia/asia-champions-league/,Xac Broncos vs South China,VS,Finalizado,https://www.flashscore.com/match/basketball/south-china-CfGlp2j4/xac-broncos-x8WkTjXj/?mid=Kfq8HZJ7,11:00
BELARUS,Premier League - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league/,Minsk vs Borisfen,VS,Finalizado,https://www.flashscore.com/match/basketball/bc-minsk-4EG5Vzys/borisfen-CEytZ1iE/?mid=G8TdImSs,15:30
