País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Turk Telekom vs Esenler Erokspor,---,Postp,https://www.flashscore.com/match/basketball/esenler-erokspor-x6ikfuB1/turk-telekom-xzhkYoHf/?mid=G2P5Zdem,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Bahcesehir Kol. vs Manisa,112-105,Finalizado,https://www.flashscore.com/match/basketball/bahcesehir-koleji-AJURGI1d/manisa-basketball-pbAAjuKU/?mid=xC4WKctf,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Besiktas vs Karsiyaka,92-86,Finalizado,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/karsiyaka-basket-4phclwNB/?mid=bRhuJyB6,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Sacramento Kings vs Los Angeles Clippers,109-138,Finalizado,https://www.flashscore.com/match/basketball/los-angeles-clippers-vPeTYlqm/sacramento-kings-CvwE1OCB/?mid=QkvIX6Pi,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Golden State Warriors vs Houston Rockets,116-117,Finalizado,https://www.flashscore.com/match/basketball/golden-state-warriors-SxUtXqch/houston-rockets-Sr9PQALP/?mid=n5SQVpf4,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Atlanta Hawks vs New York Knicks,VS,Finalizado,https://www.flashscore.com/match/basketball/atlanta-hawks-xAO4gBas/new-york-knicks-WCNO4nbt/?mid=YLQYTOOG,23:00
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Orlando Magic vs Detroit Pistons,VS,Finalizado,https://www.flashscore.com/match/basketball/detroit-pistons-UcjMRj6J/orlando-magic-QZMS36Dn/?mid=UmKsS2gT,23:00
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Olimpico vs La Union,87-78,Finalizado,https://www.flashscore.com/match/basketball/la-union-tE0LgyO6/olimpico-ERbTiFhJ/?mid=4dRMsrSh,
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Boca Juniors vs Union De Santa Fe,VS,Finalizado,https://www.flashscore.com/match/basketball/boca-juniors-pn7Cecgf/union-de-santa-fe-zTlnXp6H/?mid=bgL4hatB,23:30
ARGENTINA,Liga Femenina Women - Clausura - Play Offs,https://www.flashscore.com/basketball/argentina/liga-femenina-women/,Independiente Neuquen W vs El Talar W,50-74,Finalizado,https://www.flashscore.com/match/basketball/el-talar-8tfUDGgf/independiente-neuquen-MBbYmB3N/?mid=neAgoCOi,
ARGENTINA,Liga Femenina Women - Clausura - Play Offs,https://www.flashscore.com/basketball/argentina/liga-femenina-women/,Lanus W vs Obras Sanitarias W,VS,Finalizado,https://www.flashscore.com/match/basketball/lanus-OIUHSXu4/obras-sanitarias-MVBA7ZfO/?mid=OIWyTU8N,23:30
ASIA,Asia Champions League - Qualification,https://www.flashscore.com/basketball/asia/asia-champions-league/,South China vs Xac Broncos,84-86,Finalizado,https://www.flashscore.com/match/basketball/south-china-CfGlp2j4/xac-broncos-x8WkTjXj/?mid=6XdkCvrS,
AUSTRIA,Superliga - Losers stage,https://www.flashscore.com/basketball/austria/superliga/,BBC Nord vs Furstenfeld,91-81,Finalizado,https://www.flashscore.com/match/basketball/bbc-nord-QXZj5FHs/furstenfeld-0fZ1Ela2/?mid=vwR8qpHt,
