País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
ARGENTINA,Liga A - Play Offs,https://www.flashscore.com/basketball/argentina/liga-a/,Regatas vs Ferro,81-60,Finalizado,https://www.flashscore.com/match/basketball/ferro-carril-oeste-2qroXLyp/regatas-SAdHfH80/?mid=StGkZqhA,
ARGENTINA,Liga A - Play Offs,https://www.flashscore.com/basketball/argentina/liga-a/,Obera TC vs Boca Juniors,VS,Finalizado,https://www.flashscore.com/match/basketball/boca-juniors-pn7Cecgf/obera-tc-KdCRV01k/?mid=OjbOVAoI,23:30
BULGARIA,NBL - Play Offs,https://www.flashscore.com/basketball/bulgaria/nbl/,Balkan vs Cherno More,80-78,Finalizado,https://www.flashscore.com/match/basketball/balkan-8WQx44xi/cherno-more-MPJtprS0/?mid=dELEuhdM,
CHILE,LNB - Apertura - Play Offs,https://www.flashscore.com/basketball/chile/lnb/,Colo Colo vs Boston C. C.,96-103,Finalizado,https://www.flashscore.com/match/basketball/boston-college-chile-O05LMgHt/colo-colo-KEs2aK2B/?mid=nsPsOjig,
CHILE,LNB - Apertura - Play Offs,https://www.flashscore.com/basketball/chile/lnb/,Naviera Ulloa vs Las Animas,69-92,Finalizado,https://www.flashscore.com/match/basketball/las-animas-GtyBcbXN/naviera-ulloa-lWWNN5at/?mid=YNAM8lgc,
CHILE,LNB 2,https://www.flashscore.com/basketball/chile/lnb-2/,Escolar Aleman vs UDE Temuco,80-73,Finalizado,https://www.flashscore.com/match/basketball/escolar-aleman-dj6rxPXg/ude-temuco-M789jOnm/?mid=zTrPRYh5,
COLOMBIA,LBP - Apertura,https://www.flashscore.com/basketball/colombia/lbp/,Caribbean Storm Islands vs Caimanes del Llano,48-57,Q33,https://www.flashscore.com/match/basketball/caimanes-del-llano-dvARrFp9/caribbean-storm-islands-8hO139VO/?mid=lUczsMOb,
CZECH REPUBLIC,NBL - Play Offs,https://www.flashscore.com/basketball/czech-republic/nbl/,Brno vs Decin,98-78,Finalizado,https://www.flashscore.com/match/basketball/brno-byOWrbWp/decin-8zir5ug4/?mid=M3y4K6Zh,
DENMARK,Kvindebasketligaen Women - Play Offs,https://www.flashscore.com/basketball/denmark/kvindebasketligaen-women/,Sisu W vs BMS Herlev W,63-67,Finalizado,https://www.flashscore.com/match/basketball/bms-herlev-OzpclBHC/sisu-SzbswvQ0/?mid=rZ3uTLW1,
HUNGARY,NB I. A - 5th-8th places,https://www.flashscore.com/basketball/hungary/nb-i-a/,Alba Fehervar vs Budapesti Honved Se,101-79,Finalizado,https://www.flashscore.com/match/basketball/alba-fehervar-prZgOiIs/budapesti-honved-se-MkCH5pB4/?mid=OW1OeBjJ,
ICELAND,Premier League Women - Play Offs,https://www.flashscore.com/basketball/iceland/premier-league-women/,Njardvik W vs Haukar W,75-70,Finalizado,https://www.flashscore.com/match/basketball/haukar-juBRiO6a/njardvik-6L67hhIu/?mid=A9LB4YnJ,
ISRAEL,Super League,https://www.flashscore.com/basketball/israel/super-league/,Bnei Herzliya vs Elitzur Maccabi Netanya,108-107,Finalizado,https://www.flashscore.com/match/basketball/bnei-herzliya-QBvnpKKH/elitzur-maccabi-netanya-U70iE6Z0/?mid=pGQCxppJ,
ISRAEL,Super League,https://www.flashscore.com/basketball/israel/super-league/,Maccabi Tel Aviv vs Ironi Kiryat Ata,102-77,Finalizado,https://www.flashscore.com/match/basketball/ironi-kiryat-ata-vRGbtwn0/maccabi-tel-aviv-nLuro05B/?mid=zckB7hb6,
ITALY,Serie A2 - Play Offs,https://www.flashscore.com/basketball/italy/serie-a2/,Pesaro vs Rimini,94-79,Finalizado,https://www.flashscore.com/match/basketball/pesaro-UucTrDe9/rimini-WWYB2bAA/?mid=YXZkqq0f,
JAPAN,B.League - Play Offs,https://www.flashscore.com/basketball/japan/b-league/,Chiba vs Gunma,72-68,Finalizado,https://www.flashscore.com/match/basketball/chiba-rZwH8JWL/gunma-zw2dV8TH/?mid=SUyD2Z8a,
JAPAN,B2.League - Play Offs,https://www.flashscore.com/basketball/japan/b2-league/,Shinshu vs Fukushima,73-96,Finalizado,https://www.flashscore.com/match/basketball/fukushima-OKLCvSqd/shinshu-0AlC9aHF/?mid=hUxuPsNM,
KAZAKHSTAN,National League - Play Offs,https://www.flashscore.com/basketball/kazakhstan/national-league/,Astana vs Atyrau,76-90,Finalizado,https://www.flashscore.com/match/basketball/astana-hOUwVHKf/barsy-atyrau-KrROfngr/?mid=MHtL5xfR,
KAZAKHSTAN,National League - Play Offs,https://www.flashscore.com/basketball/kazakhstan/national-league/,Kaspiy Aktau vs Almaty,88-73,Finalizado,https://www.flashscore.com/match/basketball/almat-legion-tE1SwJZp/kaspiy-aktau-ADi56t16/?mid=QRpbbfn1,
LATVIA,LBL - Play Offs,https://www.flashscore.com/basketball/latvia/lbl/,Rigas Zelli vs VEF Riga,112-100,Finalizado,https://www.flashscore.com/match/basketball/rigas-zelli-bkm7qMiE/vef-riga-6Vv7Kick/?mid=W0mJORJa,
PARAGUAY,LNB - Apertura,https://www.flashscore.com/basketball/paraguay/lnb/,Colonias Gold vs Felix Perez Cardozo,VS,Finalizado,https://www.flashscore.com/match/basketball/colonias-gold-I16tipa3/felix-perez-cardozo-2XbM5aC7/?mid=UsnCEvtR,23:00
PARAGUAY,LNB - Apertura,https://www.flashscore.com/basketball/paraguay/lnb/,Olimpia Kings vs Deportivo Amambay,VS,Finalizado,https://www.flashscore.com/match/basketball/deportivo-amambay-AoYq4poR/olimpia-kings-z7cGPxuc/?mid=QDXs9I3l,23:00
PARAGUAY,LNB - Apertura,https://www.flashscore.com/basketball/paraguay/lnb/,Ciudad Nueva vs Dep. San Jose,VS,Finalizado,https://www.flashscore.com/match/basketball/ciudad-nueva-SOBPXXxe/deportivo-san-jose-M9r4Hqoe/?mid=xzU4G0BE,23:30
PARAGUAY,LNB - Apertura,https://www.flashscore.com/basketball/paraguay/lnb/,San Alfonzo vs Deportivo Campoalto,VS,Finalizado,https://www.flashscore.com/match/basketball/deportivo-campoalto-Ot0I6uc1/san-alfonzo-lYCLYDNl/?mid=Ywyj7dY0,23:30
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Basilan Steel vs Bulacan Kuyas,86-78,Finalizado,https://www.flashscore.com/match/basketball/basilan-steel-AZhhUirb/bulacan-kuyas-jR4PyuZo/?mid=rPdM3e0n,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Batangas City vs Manila Batang Quiapo,---,Postp,https://www.flashscore.com/match/basketball/batangas-city-8MjGg7eH/manila-batang-quiapo-zFUFHylU/?mid=CMBfk70n,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Bacolod Masskara vs Binan Tatak Gel,---,Postp,https://www.flashscore.com/match/basketball/bacolod-masskara-8ntpTDd4/binan-tatak-gel-bVtgR65K/?mid=bwA2moVb,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Mindoro Tamaraws vs Binan Tatak Gel,75-100,Finalizado,https://www.flashscore.com/match/basketball/binan-tatak-gel-bVtgR65K/mindoro-tamaraws-UXe6YNCm/?mid=GxeU1ZUb,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Paranaque Patriots vs Batangas City,53-91,Finalizado,https://www.flashscore.com/match/basketball/batangas-city-8MjGg7eH/paranaque-patriots-824fbVtn/?mid=O2bx0DaB,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Paranaque Patriots vs Meycauayan,---,Postp,https://www.flashscore.com/match/basketball/meycauayan-I9Wl6QBd/paranaque-patriots-824fbVtn/?mid=63DAoPaB,
PUERTO RICO,BSN,https://www.flashscore.com/basketball/puerto-rico/bsn/,Capitanes de Arecibo vs Indios de Mayaguez,101-99,AOT,https://www.flashscore.com/match/basketball/capitanes-de-arecibo-AiZ0BY2D/indios-de-mayaguez-Y3WmYnZn/?mid=v5LNoyTr,
ROMANIA,Divizia A - 5th-8th places,https://www.flashscore.com/basketball/romania/divizia-a/,Voluntari vs CSU Sibiu,102-85,Finalizado,https://www.flashscore.com/match/basketball/csu-sibiu-b9a7Q5T1/voluntari-AHJ6YUBa/?mid=4CI12Asg,
ROMANIA,Divizia A - 5th-8th places,https://www.flashscore.com/basketball/romania/divizia-a/,Rapid Bucuresti vs Arges Pitesti,96-77,Finalizado,https://www.flashscore.com/match/basketball/arges-pitesti-YgbgNPSf/rapid-bucuresti-86QJobrG/?mid=hOR1xYhK,
ROMANIA,Divizia A - 9th-16th places,https://www.flashscore.com/basketball/romania/divizia-a/,SCM Timisoara vs BC Steaua Bucuresti,85-72,Finalizado,https://www.flashscore.com/match/basketball/csa-steaua-67d1L3c7/scm-timisoara-EmnzN5Dl/?mid=beqcZBD6,
RUSSIA,VTB United League - Play Offs,https://www.flashscore.com/basketball/russia/vtb-united-league/,Unics Kazan vs Zenit Petersburg,107-104,AOT,https://www.flashscore.com/match/basketball/unics-kazan-rTWGEhHR/zenit-petersburg-z3T8GEnF/?mid=rHpBOQO7,
SLOVAKIA,Extraliga - Play Offs,https://www.flashscore.com/basketball/slovakia/extraliga/,Slovan Bratislava vs Nitra Blue Wings,79-65,Finalizado,https://www.flashscore.com/match/basketball/nitra-blue-wings-j3xf8RT6/slovan-bratislava-MwDN9uI9/?mid=l23do4Ek,
SLOVENIA,Liga OTP banka - Play Offs,https://www.flashscore.com/basketball/slovenia/liga-otp-banka/,KK Triglav Kranj vs Perspektiva Ilirija,70-86,Finalizado,https://www.flashscore.com/match/basketball/ilirija-fNfJBWiR/kk-triglav-kranj-EX8RRwmr/?mid=8jWlPrhm,
